Date,SP500 ^GSPC,SP500 ^GSPC,NASDAQ ^IXIC,NASDAQ ^IXIC,DJI ^DJI,DJI ^DJI,RUSSELL2000 ^RUT,RUSSELL2000 ^RUT,FTSE ^FTSE,FTSE ^FTSE,NIKKEI ^N225,NIKKEI ^N225,GOLD GC=F,USD INDEX DX-Y.NYB,VIX
2004-12-01,1211.9200439453125,31102500000,2175.43994140625,44379920000,10783.009765625,5744730000,651.5700073242188,31102700000,4814.2998046875,28451048500,11488.759765625,1437800000,12728,80.8499984741211,12.55
2005-01-01,1181.27001953125,31498800000,2062.409912109375,43135970000,10489.9404296875,5424930000,624.02001953125,31498000000,4852.2998046875,31489218700,11387.58984375,1616200000,115342,83.5999984741211,13.34
2005-02-01,1203.5999755859375,29297410000,2051.719970703125,36633150000,10766.23046875,5038600000,634.0599975585938,29297410000,4968.5,33004713300,11740.599609375,1665700000,8468,82.51000213623047,11.6
2005-03-01,1180.5899658203125,39014150000,1999.22998046875,39780380000,10503.759765625,5820160000,615.0700073242188,39014150000,4894.39990234375,34739240300,11668.9501953125,2032200000,3171,84.05999755859375,13.145
2005-04-01,1156.8499755859375,43424270000,1921.6500244140625,37517930000,10192.509765625,5852240000,579.3800048828125,43424270000,4801.7001953125,32554037300,11008.900390625,1675000000,2579,84.43000030517578,14.53
2005-06-01,1191.3299560546875,40334040000,2056.9599609375,36702320000,10274.9697265625,5026730000,639.6599731445312,40334040000,5113.2001953125,33009384900,11584.009765625,1617600000,6950,89.11000061035156,11.9
2005-07-01,1234.1800537109375,37464670000,2184.830078125,32702310000,10640.91015625,4821200000,679.75,37464670000,5282.2998046875,35914811800,11899.599609375,1432300000,44574,89.3499984741211,10.96
2005-08-01,1220.3299560546875,42030090000,2152.090087890625,34238710000,10481.599609375,5082400000,666.510009765625,42030090000,5296.89990234375,28548031300,12413.599609375,2344500000,3085,87.58000183105469,13.21
2005-09-01,1228.81005859375,44777510000,2151.68994140625,34790080000,10568.7001953125,5229310000,667.7999877929688,44777510000,5477.7001953125,32549434600,13574.2998046875,3272000000,11805,89.5199966430664,12.64
2005-10-01,1207.010009765625,49793790000,2120.300048828125,36500900000,10440.0703125,5829060000,646.6099853515625,49793790000,5317.2998046875,34392061700,13606.5,3283900000,2106,90.06999969482422,14.87
2005-11-01,1249.47998046875,45102870000,2232.820068359375,35854200000,10805.8701171875,5385780000,677.2899780273438,45102870000,5423.2001953125,39097398000,14872.150390625,3468100000,157642,91.56999969482422,12.06
2005-12-01,1248.2900390625,41756130000,2205.320068359375,34343260000,10717.5,5223910000,673.219970703125,41756130000,5618.7998046875,28936712900,16111.4296875,3239400000,12240,91.16999816894531,11.35
2006-02-01,1280.6600341796875,42859940000,2281.389892578125,37103890000,10993.41015625,5759090000,730.6400146484375,42859940000,5791.5,37360442700,16205.4296875,2767300000,10165,90.11000061035156,12.36
2006-03-01,1294.8699951171875,50905040000,2339.7900390625,47567350000,11109.3203125,6680180000,765.1400146484375,50905040000,5964.60009765625,44156359200,17059.66015625,2389600000,94801,89.7300033569336,11.58
2006-04-01,1310.6099853515625,43308430000,2322.570068359375,39227480000,11367.1396484375,5584020000,764.5399780273438,43308430000,6023.10009765625,30775738400,16906.23046875,2145500000,8121,86.11000061035156,11.75
